#
# Random graph on 1000 nodes. G(100, 1000) (Fri Apr 20 16:34:54 2018)
#
# Rank	Singular value
1	10.8
2	5.91975
3	5.88659
4	5.64224
5	5.43056
6	5.3048
7	5.17707
8	5.01375
9	4.90892
10	4.81414
11	4.77782
12	4.77534
13	4.72653
14	4.63872
15	4.6378
16	4.56787
17	4.53023
18	4.40457
19	4.26769
20	4.2136
21	4.09204
22	4.02862
23	4.00543
24	3.95582
25	3.87006
26	3.80271
27	3.77577
28	3.67107
29	3.60932
30	3.58848
31	3.45326
32	3.40369
33	3.3871
34	3.32554
35	3.2642
36	3.20699
37	3.1968
38	3.09894
39	3.07899
40	3.00122
41	2.94732
42	2.87522
43	2.80979
44	2.75505
45	2.71922
46	2.6462
47	2.59196
48	2.5212
49	2.46171
50	2.37596
51	2.32213
52	2.25836
53	2.20163
54	2.03935
55	1.98402
56	1.93737
57	1.87729
58	1.80731
59	1.72678
60	1.64277
61	1.58224
62	1.45446
63	1.42504
64	1.34422
65	1.24807
66	1.16787
67	1.10432
68	1.00556
69	0.955587
70	0.857365
71	0.751977
72	0.6888
73	0.629369
74	0.563263
75	0.477261
76	0.380658
77	0.248913
78	0.202847
79	0.100044
80	0.0543231
