#
# Random graph on 1000 nodes. G(100, 1000) (Fri Apr 20 16:34:54 2018)
#
# Rank	Left singular vector
1	0.205744
2	0.18649
3	0.172469
4	0.168603
5	0.161368
6	0.140181
7	0.138657
8	0.1367
9	0.135005
10	0.132616
11	0.129565
12	0.129108
13	0.128663
14	0.122952
15	0.121872
16	0.119615
17	0.119322
18	0.117797
19	0.117663
20	0.11574
21	0.114726
22	0.114694
23	0.114642
24	0.113967
25	0.112065
26	0.111712
27	0.109293
28	0.108378
29	0.108198
30	0.106784
31	0.106092
32	0.106026
33	0.105323
34	0.104712
35	0.104633
36	0.104125
37	0.103955
38	0.102489
39	0.101951
40	0.101419
41	0.0993988
42	0.0993081
43	0.0980134
44	0.0972319
45	0.0958979
46	0.0953415
47	0.092971
48	0.0928094
49	0.0925908
50	0.0924945
